Title,Year_Released,Studio,Genre,Month,Overal_Rev,Global_Rev,JP_Rev,CN_Rev,Review,Downloads,Drop_Rates,Rarity_Count
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,September,35,18,17,0,4.6,0.44,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,August,31,24,7,0,4.6,0.44,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,July,34,24,10,0,4.6,0.67,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,June,9,4,5,0,4.6,0.53,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,May,11,7,4,0,4.6,0.64,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,April,14,10,4,0,4.6,0.89,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,March,15,7,8,0,4.6,0.85,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,February,40,7,33,0,4.6,0.79,5,3
Dragon Ball Z Dokkan Battle,2015,Bandai Namco,Action,January,19,8,11,0,4.6,0.93,5,3
CookieRun: Kingdom,2021,Devsisters,Role Playing,October,5,5,0,0,4.6,0.3,0.25,8
CookieRun: Kingdom,2021,Devsisters,Role Playing,September,4,4,0,0,4.6,0.2,0.25,8
CookieRun: Kingdom,2021,Devsisters,Role Playing,August,2,2,0,0,4.6,0.5,0.25,8
CookieRun: Kingdom,2021,Devsisters,Role Playing,July,3,3,0,0,4.6,0.2,0.25,8
CookieRun: Kingdom,2021,Devsisters,Role Playing,June,4,4,0,0,4.6,0.2,0.25,8
CookieRun: Kingdom,2021,Devsisters,Role Playing,May,5,5,0,0,4.6,0.2,0.25,8
Heaven Burns Red,2022,Wright Flyer,Role Playing,October,4,0,4,0,4.7,0.014,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,September,4,0,4,0,4.7,0.01,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,August,5,0,5,0,4.7,0.017,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,July,5,0,5,0,4.7,0.05,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,June,5,0,5,0,4.7,0.013,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,May,3,0,3,0,4.7,0.018,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,April,7,0,7,0,4.7,0.03,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,March,7,0,7,0,4.7,0.03,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,February,14,0,14,0,4.7,0.09,3,3
Heaven Burns Red,2022,Wright Flyer,Role Playing,January,8,0,8,0,4.7,0.4,3,3
Epic Seven,2018,Smilegate,Role Playing,October,4.825,4,0,0.825,4.2,0.104,1.25,3
Epic Seven,2018,Smilegate,Role Playing,September,6.55,6,0,0.55,4.2,0.134,1.25,3
Epic Seven,2018,Smilegate,Role Playing,August,3.55,3,0,0.55,4.2,0.527,1.25,3
Epic Seven,2018,Smilegate,Role Playing,July,8.9,7,0,1.9,4.2,0.112,1.25,3
Epic Seven,2018,Smilegate,Role Playing,June,4.6,2.9,0,1.7,4.2,0.124,1.25,3
Epic Seven,2018,Smilegate,Role Playing,May,4.1,3,0,1.1,4.2,0.088,1.25,3
Epic Seven,2018,Smilegate,Role Playing,April,5.1,4,0,1.1,4.2,0.117,1.25,3
Epic Seven,2018,Smilegate,Role Playing,March,4.4,3,0,1.4,4.2,0.239,1.25,3
Epic Seven,2018,Smilegate,Role Playing,February,4.1,3,0,1.1,4.2,0.135,1.25,3
Epic Seven,2018,Smilegate,Role Playing,January,2.9,1.8,0,1.1,4.2,0.118,1.25,3
Ensemble Stars,2020,Happy Elements KK,Music,October,4.71,0.16,4,0.55,4.4,0.091,3,3
Ensemble Stars,2020,Happy Elements KK,Music,September,7.73,0.18,7,0.55,4.4,0.101,3,3
Ensemble Stars,2020,Happy Elements KK,Music,August,6.85,0.3,6,0.55,4.4,0.089,3,3
Ensemble Stars,2020,Happy Elements KK,Music,July,6.015,0.19,5,0.825,4.4,0.094,3,3
Ensemble Stars,2020,Happy Elements KK,Music,June,4.75,0.3,3.9,0.55,4.4,0.092,3,3
Ensemble Stars,2020,Happy Elements KK,Music,May,8.015,0.19,7,0.825,4.4,0.103,3,3
Ensemble Stars,2020,Happy Elements KK,Music,April,10.015,0.19,9,0.825,4.4,0.103,3,3
Ensemble Stars,2020,Happy Elements KK,Music,March,8.73,0.18,8,0.55,4.4,0.134,3,3
Ensemble Stars,2020,Happy Elements KK,Music,February,7.025,0.2,6,0.825,4.4,0.1,3,3
Ensemble Stars,2020,Happy Elements KK,Music,January,8.85,0.3,8,0.55,4.4,0.12,3,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,October,4,4,0,0,4.6,0.5,1.2,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,September,6,6,0,0,4.6,0.6,1.2,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,August,11,11,0,0,4.6,1,1.2,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,July,12,12,0,0,4.6,1.2,1.2,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,June,19,19,0,0,4.6,1.6,1.2,3
Solo Leveling: Arise,2024,Netmarble,Role Playing,May,40,40,0,0,4.6,16,1.2,3
The Battle Cats,2014,PONOS,Strategy,October,5.8,3,2.8,0,4.5,0.8,0.3,4
The Battle Cats,2014,PONOS,Strategy,September,4.9,1.9,3,0,4.5,0.6,0.3,4
The Battle Cats,2014,PONOS,Strategy,August,3.7,0.9,2.8,0,4.5,0.6,0.3,4
The Battle Cats,2014,PONOS,Strategy,July,3.4,0.8,2.6,0,4.5,0.58,0.3,4
The Battle Cats,2014,PONOS,Strategy,June,3.6,0.9,2.7,0,4.5,0.49,0.3,4
The Battle Cats,2014,PONOS,Strategy,May,5.1,1.1,4,0,4.5,0.54,0.3,4
The Battle Cats,2014,PONOS,Strategy,April,4,1.1,2.9,0,4.5,0.54,0.3,4
The Battle Cats,2014,PONOS,Strategy,March,3.7,0.9,2.8,0,4.5,0.4,0.3,4
The Battle Cats,2014,PONOS,Strategy,February,4.2,1.2,3,0,4.5,0.48,0.3,4
The Battle Cats,2014,PONOS,Strategy,January,5.2,1.2,4,0,4.5,0.73,0.3,4
Fire Emblem Heroes,2017,Nintendo,Strategy,October,3,3,0,0,4.6,0.028,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,September,3,3,0,0,4.6,0.028,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,August,5,5,0,0,4.6,0.03,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,July,4,4,0,0,4.6,0.029,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,June,4,4,0,0,4.6,0.029,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,May,3,3,0,0,4.6,0.02,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,April,4,4,0,0,4.6,0.03,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,March,4,4,0,0,4.6,0.017,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,February,5,5,0,0,4.6,0.017,3,3
Fire Emblem Heroes,2017,Nintendo,Strategy,January,4,4,0,0,4.6,0.015,3,3
Guilongchao,2024,Longchaoge,Action,October,2.8,0,0,2.8,4.4,0.55,0.2,3
Guilongchao,2024,Longchaoge,Action,September,5.5,0,0,5.5,4.4,2.8,0.2,3
Reverse: 1999,2023,Bluepoch,Role Playing,October,4,0.7,0.5,2.8,4.5,0.21,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,September,9.9,0.9,0.7,8.3,4.5,0.202,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,August,3.8,0.6,0.4,2.8,4.5,0.188,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,July,3.4,0.4,0.2,2.8,4.5,0.225,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,June,6.7,0.7,0.5,5.5,4.5,0.272,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,May,11.9,0.5,0.4,11,4.5,0.299,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,April,6.3,0.5,0.3,5.5,4.5,0.217,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,March,4.2,0.8,0.6,2.8,4.5,0.282,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,February,9.3,0.6,0.4,8.3,4.5,0.358,1.5,5
Reverse: 1999,2023,Bluepoch,Role Playing,January,9.9,1,0.6,8.3,4.5,0.465,1.5,5
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,October,3.7,2.5,1.2,0,4.3,0.066,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,September,5.3,3.6,1.7,0,4.3,0.09,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,August,2.2,1.3,0.9,0,4.3,0.042,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,July,2.2,1.4,0.8,0,4.3,0.042,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,June,2.3,0.8,1.5,0,4.3,0.066,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,May,2.2,0.7,1.5,0,4.3,0.114,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,April,2.5,0.9,1.6,0,4.3,0.136,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,March,4,1.1,2.9,0,4.3,0.2,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,February,3.7,0.9,2.8,0,4.3,0.068,7.5,3
Final Fantasy VII: Ever Crisis,2023,Square Enix,Adventure,January,3.9,1.1,2.8,0,4.3,0.098,7.5,3
One Piece Treasure Cruise,2014,Bandai Namco,Action,October,3.5,1,2.5,0,4.6,0.15,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,September,4,1.4,2.6,0,4.6,0.28,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,August,5.9,1.9,4,0,4.6,0.41,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,July,1.9,0.6,1.3,0,4.6,0.159,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,June,3.9,1.4,2.5,0,4.6,0.27,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,May,10,4,6,0,4.6,0.43,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,April,2.3,1,1.3,0,4.6,0.36,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,March,4.1,1.6,2.5,0,4.6,0.36,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,February,4.4,1.8,2.6,0,4.6,0.26,0.25,6
One Piece Treasure Cruise,2014,Bandai Namco,Action,January,4.6,2,2.6,0,4.6,0.17,0.25,6
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,October,4.2,1.7,2.5,0,4.4,0.117,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,September,3.3,2,1.3,0,4.4,0.134,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,August,3.3,1.9,1.4,0,4.4,0.145,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,July,4.4,2,2.4,0,4.4,0.136,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,June,6.5,4,2.5,0,4.4,0.138,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,May,6.5,4,2.5,0,4.4,0.149,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,April,3.4,2,1.4,0,4.4,0.139,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,March,6.5,4,2.5,0,4.4,0.17,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,February,3.4,2,1.4,0,4.4,0.15,3,3
The Seven Deadly Sins: Grand Cross,2020,Netmarble,Strategy,January,7.5,5,2.5,0,4.4,0.19,3,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,October,2.9,0.4,2.5,0,4.6,0.11,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,September,2.8,0.3,2.5,0,4.6,0.055,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,August,2.9,0.4,2.5,0,4.6,0.065,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,July,2.9,0.4,2.5,0,4.6,0.096,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,June,2.6,0.2,2.4,0,4.6,0.066,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,May,2.7,0.3,2.4,0,4.6,0.12,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,April,2.64,0.14,2.5,0,4.6,0.32,3.5,3
Blue Lock Project: World Champion,2022,Rudel,Simulation,March,2.5,0,2.5,0,4.6,0.04,3.5,3
Fellow Moon,2024,Yihaihuyu,Cards,October,2.5,0,0,2.5,4.8,1.7,1.5,4
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,October,3.3,0.8,0,2.5,4.1,0.143,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,September,3.8,1,0,2.8,4.1,0.17,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,August,3.9,1.1,0,2.8,4.1,0.29,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,July,9.7,1.4,0,8.3,4.1,0.385,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,June,3.5,0.7,0,2.8,4.1,0.308,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,May,6.4,0.9,0,5.5,4.1,1.81,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,April,2.7,0.5,0,2.2,4.1,0.345,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,March,1.125,0.3,0,0.825,4.1,0.095,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,February,1.125,0.3,0,0.825,4.1,0.178,0.5,3
Snowbreak: Containment Zone,2023,Seasun Games,Shooter,January,1.5,0.4,0,1.1,4.1,0.17,0.5,3
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,October,3.1,0.5,0.7,1.9,4.3,0.114,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,September,3.2,0.3,0.4,2.5,4.3,0.113,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,August,2.29,0.3,0.29,1.7,4.3,0.133,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,July,2.3,0.4,0.5,1.4,4.3,0.198,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,June,2.9,0.5,0.5,1.9,4.3,0.16,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,May,3.2,0.5,0.5,2.2,4.3,0.163,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,April,3,0.6,0.5,1.9,4.3,0.193,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,March,4.2,1.3,1,1.9,4.3,0.247,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,February,3.7,0.6,0.3,2.8,4.3,0.383,1.5,12
Honkai Impact 3rd,2016,HOYOVERSE,Adventure,January,3.6,1,0.7,1.9,4.3,0.259,1.5,12
Brown Dust 2,2023,Neowiz,Adventure,October,1.8,1.8,0,0,4.6,0.07,3,3
Brown Dust 2,2023,Neowiz,Adventure,September,1.5,1.5,0,0,4.6,0.08,3,3
Brown Dust 2,2023,Neowiz,Adventure,August,1.2,1.2,0,0,4.6,0.09,3,3
Brown Dust 2,2023,Neowiz,Adventure,July,1.8,1.8,0,0,4.6,0.07,3,3
Brown Dust 2,2023,Neowiz,Adventure,June,3,3,0,0,4.6,0.14,3,3
Brown Dust 2,2023,Neowiz,Adventure,May,1.1,1.1,0,0,4.6,0.09,3,3
Brown Dust 2,2023,Neowiz,Adventure,April,0.7,0.7,0,0,4.6,0.06,3,3
Brown Dust 2,2023,Neowiz,Adventure,March,0.8,0.8,0,0,4.6,0.09,3,3
Brown Dust 2,2023,Neowiz,Adventure,February,0.7,0.7,0,0,4.6,0.06,3,3
Brown Dust 2,2023,Neowiz,Adventure,January,1.4,1.4,0,0,4.6,0.13,3,3
Pokemon Master EX,2019,DeNA,Adventure,October,1.7,1.7,0,0,4.6,0.15,7,3
Pokemon Master EX,2019,DeNA,Adventure,September,5,5,0,0,4.6,0.18,7,3
Pokemon Master EX,2019,DeNA,Adventure,August,3,3,0,0,4.6,0.29,7,3
Pokemon Master EX,2019,DeNA,Adventure,July,1.2,1.2,0,0,4.6,0.16,7,3
Pokemon Master EX,2019,DeNA,Adventure,June,1.7,1.7,0,0,4.6,0.16,7,3
Pokemon Master EX,2019,DeNA,Adventure,May,1.7,1.7,0,0,4.6,0.16,7,3
Pokemon Master EX,2019,DeNA,Adventure,April,1.7,1.7,0,0,4.6,0.26,7,3
Pokemon Master EX,2019,DeNA,Adventure,March,3,3,0,0,4.6,0.29,7,3
Pokemon Master EX,2019,DeNA,Adventure,February,1.8,1.8,0,0,4.6,0.28,7,3
Pokemon Master EX,2019,DeNA,Adventure,January,3,3,0,0,4.6,0.27,7,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,October,1.7,0,1.7,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,September,3,0,3,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,August,1.3,0,1.3,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,July,1.2,0,1.2,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,June,1.6,0,1.6,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,May,1.5,0,1.5,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,April,1.8,0,1.8,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,March,3,0,3,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,February,1.7,0,1.7,0,4.5,0.01,6,3
Idolmaster Cinderella Girls Starlight Stage,2015,Bandai Namco,Music,January,2.7,0,2.7,0,4.5,0.01,6,3
ReverseBlue x Re-BirthEnd,2024,Happy Elements KK,Cards,October,1.7,0,1.7,0,4.6,0.12,3,3
ReverseBlue x Re-BirthEnd,2024,Happy Elements KK,Cards,September,1.2,0,1.2,0,4.6,0.5,3,3
Tears of Themis,2020,HOYOVERSE,Romance,October,2.1,0.4,0,1.7,4.6,0.065,1.6,3
Tears of Themis,2020,HOYOVERSE,Romance,September,2.2,0.3,0,1.9,4.6,0.065,1.6,3
Tears of Themis,2020,HOYOVERSE,Romance,August,1.6,0.2,0,1.4,4.6,0.093,1.6,3
Tears of Themis,2020,HOYOVERSE,Romance,July,3.7,0.9,0,2.8,4.6,0.125,1.6,3
Tears of Themis,2020,HOYOVERSE,Romance,June,2,0.3,0,1.7,4.6,0.093,1.6,3
Tears of Themis,2020,HOYOVERSE,Romance,May,1.9,0.2,0,1.7,4.6,0.065,1.6,3
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,October,2.335,0.11,1.4,0.825,4.2,0.114,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,September,2.825,0.6,1.4,0.825,4.2,0.11,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,August,1.81,0.26,1,0.55,4.2,0.138,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,July,2.325,0.5,1,0.825,4.2,0.165,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,June,2.15,0.7,0.9,0.55,4.2,0.148,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,May,2.9,0.9,0.9,1.1,4.2,0.12,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,April,1.92,0.12,0.7,1.1,4.2,0.148,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,March,2.85,0.8,1.5,0.55,4.2,0.131,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,February,2.45,0.8,1.1,0.55,4.2,0.148,4,5
BanG Dream! Girls Band Party!,2017,Bushiroad,Music,January,2.915,0.14,2.5,0.275,4.2,0.183,4,5
